30
8.06 7.62 10.3 5.0 15.62 17.2 18.44 36.12 27.51 14.42 14.04 0.0 9.43 10.44 10.05 14.32 10.05 27.66 15.03 16.16 5.1 7.28 11.05 12.04 29.41 40.11 30.15 22.85 2.24 7.07 
14.76 13.0 10.05 13.93 6.4 19.1 23.35 41.3 31.02 5.0 20.25 9.43 0.0 8.25 4.47 5.1 16.55 32.06 21.93 20.1 14.32 15.62 18.36 3.16 33.02 45.28 35.36 26.02 7.21 13.89 
10.3 8.06 2.24 15.3 13.15 11.0 16.16 33.73 23.02 11.18 14.21 10.44 8.25 0.0 4.0 9.49 11.4 24.33 16.28 12.65 15.13 12.65 13.6 11.05 25.02 37.66 27.89 18.03 8.94 9.85 
12.73 10.63 6.08 15.03 9.22 15.0 19.92 37.66 27.02 7.28 17.49 10.05 4.47 4.0 0.0 5.83 14.21 28.28 19.42 16.49 15.13 14.42 16.28 7.07 29.02 41.59 31.78 22.02 8.0 12.04 
18.44 16.4 11.7 18.97 4.12 20.22 25.63 43.17 32.25 2.24 23.32 14.32 5.1 9.49 5.83 0.0 20.0 33.73 25.24 22.14 19.31 19.85 22.02 4.47 34.23 47.07 37.36 27.29 12.08 17.69 
2.0 3.61 9.43 11.66 22.83 9.85 8.54 26.08 17.89 21.1 4.0 10.05 16.55 11.4 14.21 20.0 0.0 17.72 5.39 7.07 10.82 4.24 2.24 19.7 19.7 30.07 20.1 13.6 11.05 3.0 
19.65 20.22 22.2 29.15 37.48 13.6 9.22 9.49 3.16 35.51 13.93 27.66 32.06 24.33 28.28 33.73 17.72 0.0 13.89 12.0 28.23 21.54 17.46 35.13 3.16 13.34 4.24 6.71 28.28 20.62 
7.28 8.94 14.14 15.52 28.18 11.05 5.83 21.38 14.87 26.42 2.24 15.03 21.93 16.28 19.42 25.24 5.39 13.89 0.0 7.0 14.56 8.06 4.0 25.08 16.4 25.32 15.52 11.66 16.28 8.25 
8.6 8.54 10.44 18.6 25.71 4.12 3.61 21.21 11.4 23.77 5.1 16.16 20.1 12.65 16.49 22.14 7.07 12.0 7.0 0.0 17.8 11.31 8.06 23.19 13.34 25.18 15.3 6.71 16.49 9.43 
9.22 10.0 14.56 1.0 20.25 19.85 19.24 35.9 28.65 19.24 14.32 5.1 14.32 15.13 15.13 19.31 10.82 28.23 14.56 17.8 0.0 6.71 10.77 16.64 30.41 39.81 30.08 24.41 7.28 8.49 
3.16 5.0 11.18 7.62 22.02 13.89 12.53 29.43 21.95 20.52 7.62 7.28 15.62 12.65 14.42 19.85 4.24 21.54 8.06 11.31 6.71 0.0 4.12 18.6 23.71 33.38 23.54 17.8 8.94 3.0 
3.61 5.66 11.66 11.7 24.7 11.4 8.6 25.32 18.03 23.02 3.61 11.05 18.36 13.6 16.28 22.02 2.24 17.46 4.0 8.06 10.77 4.12 0.0 21.47 19.72 29.27 19.42 14.14 12.37 4.47 
17.89 16.16 13.0 16.12 3.61 22.02 26.48 44.41 34.0 3.0 23.41 12.04 3.16 11.05 7.07 4.47 19.7 35.13 25.08 23.19 16.64 18.6 21.47 0.0 36.0 48.37 38.47 29.0 9.9 17.0 
21.54 21.84 23.0 31.3 38.12 14.04 11.18 10.0 2.0 36.12 16.12 29.41 33.02 25.02 29.02 34.23 19.7 3.16 16.4 13.34 30.41 23.71 19.72 36.0 0.0 13.42 6.32 7.0 29.83 22.47 
32.06 33.0 35.51 40.79 50.8 26.93 22.02 4.0 15.23 48.84 26.08 40.11 45.28 37.66 41.59 47.07 30.07 13.34 25.32 25.18 39.81 33.38 29.27 48.37 13.42 0.0 10.0 19.92 41.01 33.06 
22.09 23.0 25.71 31.05 41.0 17.46 12.04 6.0 7.21 39.05 16.12 30.15 35.36 27.89 31.78 37.36 20.1 4.24 15.52 15.3 30.08 23.54 19.42 38.47 6.32 10.0 0.0 10.82 31.02 23.09 
15.26 15.23 16.0 25.24 31.14 7.07 5.83 16.16 5.0 29.15 10.63 22.85 26.02 18.03 22.02 27.29 13.6 6.71 11.66 6.71 24.41 17.8 14.14 29.0 7.0 19.92 10.82 0.0 23.09 16.12 
9.06 8.06 9.22 7.07 13.45 17.0 19.1 37.01 27.89 12.21 15.03 2.24 7.21 8.94 8.0 12.08 11.05 28.28 16.28 16.49 7.28 8.94 12.37 9.9 29.83 41.01 31.02 23.09 0.0 8.06 
1.0 2.0 8.25 9.22 20.25 11.4 11.4 29.07 20.62 18.6 7.0 7.07 13.89 9.85 12.04 17.69 3.0 20.62 8.25 9.43 8.49 3.0 4.47 17.0 22.47 33.06 23.09 16.12 8.06 0.0 
